Car Model,Gear_type,Driven_km,Fuel type,Reg_place,Price,Car Location,City,Car_brand,Model_year,Ownership_count,EMI Rs
DELTA CVT PETROL 1.2,Automatic,25103,Petrol,TN-12,660000,"Navalur
",Chennai,Maruti,2019,2,12903
XZ PETROL,Manual,38562,Petrol,TN-19,461000,"Thiruverkadu, Chennai
",Chennai,Tata,2018,2,9013
VXI (O),Manual,32376,Petrol,TN-77,418000,"Thiruverkadu, Chennai
",Chennai,Maruti,2019,1,8172
SPORTZ 1.2 KAPPA VTVT,Manual,45416,Petrol,TN-49,657000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2021,1,12844
TITANIUM 1.2 PETROL,Manual,23608,Petrol,TN-14,661000,"Thiruverkadu, Chennai
",Chennai,Ford,2020,1,12923
STYLE 1.5 TDI AT,Automatic,74310,Diesel,TN-02,966000,"Thiruverkadu, Chennai
",Chennai,Skoda,2018,1,18387
W8 (O) 1.5 DIESEL AMT,Automatic,46216,Diesel,TN-11,1015000,"Thiruverkadu, Chennai
",Chennai,Mahindra,2019,2,19320
LIMITED 1.4 PETROL AT,Automatic,88923,Petrol,TN-01,1269000,"Thiruverkadu, Chennai
",Chennai,Jeep,2018,1,24154
1.5L I-VTEC ZX,Manual,10990,Petrol,TN-22,1281000,"Thiruverkadu, Chennai
",Chennai,Honda,2021,1,24383
GTX PLUS DCT 1.4 PETROL,Automatic,5663,Petrol,TN-07,1882000,"Navalur
",Chennai,KIA,2023,1,35822
ZXI,Manual,84289,Petrol,TN-07,511000,"Thiruverkadu, Chennai
",Chennai,Maruti,2017,2,9990
1.2 S,Manual,76815,Petrol,TN-87,529000,"Navalur
",Chennai,Hyundai,2017,2,10342
2WD MT PETROL,Manual,20907,Petrol,TN-21,1184000,"Navalur
",Chennai,Hyundai,2016,1,22536
GTX + AT PETROL,Automatic,83004,Petrol,TN-23,1408000,"Thiruverkadu, Chennai
",Chennai,KIA,2019,1,26800
1.6 VTVT SX O,Manual,82196,Petrol,TN-07,708000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2017,1,13842
RXZ,Manual,43879,Petrol,TN-10,703000,"Navalur
",Chennai,Renault,2021,1,13744
SPORTZ PLUS 1.2,Manual,83298,Petrol,TN-05,590000,"Navalur
",Chennai,Hyundai,2019,1,11535
ZDI AMT,Automatic,54767,Diesel,TN-13,635000,"Thiruverkadu, Chennai
",Chennai,Maruti,2016,1,12414
T,Manual,14126,Petrol,TN-09,441000,"Thiruverkadu, Chennai
",Chennai,Datsun,2018,1,8622
RXT 0.8,Manual,27861,Petrol,TN-07,367000,"Thiruverkadu, Chennai
",Chennai,Renault,2016,1,7175
SPORTZ 1.2,Manual,44512,Petrol,TN-14,567000,"Navalur
",Chennai,Hyundai,2016,1,11085
1.2L I-VTEC S,Manual,27070,Petrol,TN-14,671000,"Thiruverkadu, Chennai
",Chennai,Honda,2019,1,13118
MAGNA 1.4 CRDI,Manual,82784,Diesel,TN-07,502000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2014,1,9814
ASTA 1.2  CVT,Automatic,39404,Petrol,TN-85,686000,"Thiruverkadu, Chennai
",Chennai,Hyundai,2018,2,13411
TITANIUM 1.5L PETROL AT,Automatic,82620,Petrol,TN-11,582000,"Thiruverkadu, Chennai
",Chennai,Ford,2014,1,11378
S 1.2,Manual,22642,Petrol,TN-19,567000,"Navalur
",Chennai,Hyundai,2018,1,11085
AMBIENTE 1.5L PETROL,Manual,38256,Petrol,TN-10,550000,"Thiruverkadu, Chennai
",Chennai,Ford,2016,2,10753
